what,kind,bundleId,bundleVersion,description,time
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\spring-tx\\3.2.0.RELEASE\\spring-tx-3.2.0.RELEASE.jar",1378555785312
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\spring-aspects\\3.2.0.RELEASE\\spring-aspects-3.2.0.RELEASE.jar",1378555785328
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\aspectj\\aspectjweaver\\1.7.1\\aspectjweaver-1.7.1.jar",1378555785328
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\spring-context-support\\3.2.0.RELEASE\\spring-context-support-3.2.0.RELEASE.jar",1378555785328
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\data\\spring-data-jpa\\1.1.2.RELEASE\\spring-data-jpa-1.1.2.RELEASE.jar",1378555785328
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\data\\spring-data-commons-core\\1.3.2.RELEASE\\spring-data-commons-core-1.3.2.RELEASE.jar",1378555785328
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\spring-aop\\3.2.2.RELEASE\\spring-aop-3.2.2.RELEASE.jar",1378555785343
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\slf4j\\slf4j-api\\1.6.1\\slf4j-api-1.6.1.jar",1378555785343
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\slf4j\\jcl-over-slf4j\\1.6.1\\jcl-over-slf4j-1.6.1.jar",1378555785343
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\aspectj\\aspectjrt\\1.6.12\\aspectjrt-1.6.12.jar",1378555785359
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\security\\spring-security-web\\3.1.3.RELEASE\\spring-security-web-3.1.3.RELEASE.jar",1378555785359
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\security\\spring-security-core\\3.1.3.RELEASE\\spring-security-core-3.1.3.RELEASE.jar",1378555785359
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\security\\spring-security-config\\3.1.3.RELEASE\\spring-security-config-3.1.3.RELEASE.jar",1378555785359
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\security\\spring-security-taglibs\\3.1.3.RELEASE\\spring-security-taglibs-3.1.3.RELEASE.jar",1378555785375
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\springframework\\security\\spring-security-acl\\3.1.3.RELEASE\\spring-security-acl-3.1.3.RELEASE.jar",1378555785375
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\javax\\servlet\\jstl\\1.2\\jstl-1.2.jar",1378555785375
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\apache\\tiles\\tiles-servlet\\2.2.2\\tiles-servlet-2.2.2.jar",1378555785375
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\apache\\tiles\\tiles-core\\2.2.2\\tiles-core-2.2.2.jar",1378555785375
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\org\\apache\\tiles\\tiles-api\\2.2.2\\tiles-api-2.2.2.jar",1378555785390
error,log,,,"C:\\Users\\corchu\\.m2\\repository\\commons-digester\\commons-digester\\2.0\\commons-digester-2.0.jar",1378555785390
